Id,SalePrice
1461,117161.67968811856
1462,166221.28551614392
1463,166352.11035268113
1464,180899.04662104195
1465,225571.10856085908
1466,193688.62974545738
1467,148574.69780792587
1468,183547.63116389146
1469,202878.09904490516
1470,100533.17002669947
1471,202664.6043379248
1472,158035.01367974142
1473,137690.44594057114
1474,172999.74246276956
1475,165856.86667822168
1476,307775.7676475815
1477,239661.7592215612
1478,273830.1092377082
1479,254499.6413566945
1480,327097.0386293018
1481,277343.5750035904
1482,230374.7394679166
1483,176021.94274283465
1484,192416.85840286873
1485,204639.4303774929
1486,223800.580328978
1487,289352.6522712342
1488,242383.81673556048
1489,196313.13680525983
1490,183707.75219412672
1491,219850.9282498418
1492,133420.55180096443
1493,175027.94217908275
1494,282627.5690013537
1495,276009.2330849633
1496,210724.02952643245
1497,220971.77546148855
1498,195352.41062384832
1499,195352.41062384832
1500,171325.05918926728
1501,186056.1939709104
1502,188947.56941443827
1503,232936.67595168063
1504,255887.35695206668
1505,210937.5242334128
1506,192908.12388868583
1507,238522.51821132778
1508,206284.81745729718
1509,183087.3673675904
1510,145162.76068488287
1511,143935.16611974593
1512,149933.1172096
1513,200093.47095486743
1514,161568.5787400283
1515,190623.95818375857
1516,178337.11013727792
1517,135358.1252695498
1518,165017.76843405404
1519,210297.0401124718
1520,140412.50345457043
1521,143775.04508951068
1522,189685.6039895761
1523,124818.19294571261
1524,116060.9317708765
1525,121218.07912074492
1526,132139.5835590824
1527,85895.60751061082
1528,140481.99823707785
1529,132052.93549999694
1530,159676.42257090332
1531,151878.6470554701
1532,109229.10114750577
1533,131165.6822897352
1534,151990.61311961123
1535,146430.55383882916
1536,135789.0928721528
1537,76169.45542588556
1538,200565.87766828848
1539,238034.1987433373
1540,219952.45689268096
1541,163679.4483267846
1542,155377.23223759857
1543,221545.71081774874
1544,74153.39862669239
1545,145639.14558694628
1546,159122.58650904777
1547,146890.81763513025
1548,160797.26978255008
1549,114779.96352899449
1550,161388.35841538833
1551,162358.2814960932
1552,158176.74091139
1553,158415.553623426
1554,145819.3659115862
1555,168807.299482955
1556,164870.8224917545
1557,163770.07457451243
1558,154405.6036610757
1559,194283.69656693802
1560,148939.11664584812
1561,171373.21415536135
1562,106880.65937072207
1563,125521.24764269203
1564,152688.44910593968
1565,156264.4854478603
1566,190322.10992187474
1567,103875.61236723505
1568,211088.44836435473
1569,123507.92851013255
1570,142543.4723357314
1571,125105.1606238427
1572,121825.28885934554
1573,211791.50306133414
1574,168820.47457089066
1575,207788.47730545286
1576,181399.50900615242
1577,196526.63151224016
1578,152277.58079774136
1579,130911.9889939455
1580,221612.25958242954
1581,103965.20644414717
1582,116094.20615321689
1583,262825.93492892757
1584,243281.97234093357
1585,150616.07261217476
1586,51600.410846568986
1587,122285.5526556466
1588,133173.7827116437
1589,113236.10509202942
1590,153785.2188345394
1591,104696.31681281602
1592,138511.1503861521
1593,140975.53641571928
1594,184830.3049015915
1595,198529.51322349766
1596,235082.52541659534
1597,185533.3595985709
1598,209409.78690221003
1599,202373.65847115233
1600,220820.8513305466
1601,30381.76498507268
1602,164439.85488915147
1603,84134.27617802305
1604,245105.87424955977
1605,259516.76697073237
1606,153805.31812894408
1607,214664.48470627534
1608,203144.96742863057
1609,196099.6420982795
1610,156477.98015484062
1611,146870.71834072555
1612,155730.74868040945
1613,151140.61248033226
1614,119776.98984862767
1615,91606.59092233478
1616,121809.16775358321
1617,101674.11653275092
1618,105919.93318931057
1619,103731.61244276214
1620,239413.74961023184
1621,147404.4551081764
1622,158346.05884091856
1623,253485.5414985379
1624,201267.6918432593
1625,152430.77762150762
1626,181893.04718479386
1627,191180.06693843845
1628,279104.90633617813
1629,218196.3442707442
1630,291861.2150782532
1631,236139.0965563857
1632,249802.7578031271
1633,205066.41979145358
1634,192674.5298873008
1635,186269.68867789075
1636,168869.87005899343
1637,172563.55614951556
1638,230652.5102467534
1639,184475.08296296257
1640,253836.78524852445
1641,196464.06093620177
1642,231860.00551748564
1643,257275.07254743885
1644,253912.5309124986
1645,145790.06971788817
1646,154852.69236944107
1647,194978.79488663274
1648,142387.3294941385
1649,115313.70029644533
1650,89504.91823487182
1651,79437.39262445568
1652,158035.01367974142
1653,147967.48806932528
1654,187977.64633373343
1655,187613.22749581118
1656,183067.2680731857
1657,187977.64633373343
1658,183067.2680731857
1659,165856.86667822168
1660,119049.8576686012
1661,331153.4380619282
1662,326776.7965688313
1663,291016.4331496252
1664,351871.62153831404
1665,275858.3089540214
1666,252364.69428689114
1667,291754.467724763
1668,276231.924691237
1669,264916.70522127923
1670,279701.21367966745
1671,225241.66960109526
1672,314073.8615035014
1673,285349.6265153529
1674,242970.9271797564
1675,177836.64775216748
1676,175061.21656142315
1677,203785.45154957156
1678,342157.61237070884
1679,274674.8911663362
1680,283757.61311229377
1681,260913.67946539793
1682,248628.53691473528
1683,206294.01435659052
1684,209016.07187058977
1685,184881.97308251855
1686,196419.88415875
1687,204639.4303774929
1688,218303.09162423437
1689,216381.63926141133
1690,210777.40320317756
1691,202931.4727216502
1692,264213.65052429977
1693,204639.4303774929
1694,186162.94132440057
1695,207628.3562752176
1696,254703.93916438153
1697,197560.83066480144
1698,300667.87174119195
